编号,题干,选项,答案
1,在编译选项当中增加 –fopenmp。如果修改第25行代码“omp_set_num_threads(2);”当中的数字，（比如把2改成4）可以改变Windows任务管理器中观察到的线程的数量。,A. 对,对
1,在编译选项当中增加 –fopenmp。如果修改第25行代码“omp_set_num_threads(2);”当中的数字，（比如把2改成4）可以改变Windows任务管理器中观察到的线程的数量。,B. 错,错
2,在程序执行的过程中，所有的信号线上都是有数据的，但因为控制信号的作用，这些数据未必会被处理。比如，当执行的指令是jump这样的跳转指令时，尽管寄存器文件也能够输出寄存器的内容，但实际上并没有起到作用。,A. 对,对
2,在程序执行的过程中，所有的信号线上都是有数据的，但因为控制信号的作用，这些数据未必会被处理。比如，当执行的指令是jump这样的跳转指令时，尽管寄存器文件也能够输出寄存器的内容，但实际上并没有起到作用。,B. 错,错
3,关于龙芯指令集（LoongArch）和RISC–V指令集，以下说法错误的是：,A. 从编程者的角度看，使用MIPS编程和使用LoongArch或RISC–V高度相似,错
3,关于龙芯指令集（LoongArch）和RISC–V指令集，以下说法错误的是：,B. LoongArch是我国自行设计并投入市场化的指令集，目前为国产信息系统和国产工控系统提供关键技术支持,错
3,关于龙芯指令集（LoongArch）和RISC–V指令集，以下说法错误的是：,C. RISC–V的主要特点是“开源”，可以被任何学术机构和商业组织自由使用，开放且免费,错
3,关于龙芯指令集（LoongArch）和RISC–V指令集，以下说法错误的是：,D. 高级语言的语法特性不依赖于指令集体系结构的支持，两者毫无关联,对
4,以下哪一个表述是错误的？,A. 与“计算机组成原理”课程密切相关的课程有“数字逻辑”、“操作系统”、“程序设计”等课程。,错
4,以下哪一个表述是错误的？,B. 如果把计算机的功能简单地划分为“计算”和“存储”，那么计算机中的核心器件CPU主要完成“计算”的功能，因此CPU将所有资源投入到了运算器件的设计中。,对
4,以下哪一个表述是错误的？,C. 现代计算机系统的一个明显特征是“并行”，通过并行能够进一步提升程序性能。,错
4,以下哪一个表述是错误的？,D. 发展以CPU和操作系统为代表的自主基础软硬件，是我国的战略需求。,错
5,正确描述毕业要求（用数字表示）和课程目标（用小写字母表示）之间的关系的是？,A. 1–a; 2–b; 3–c; 4–d,对
5,正确描述毕业要求（用数字表示）和课程目标（用小写字母表示）之间的关系的是？,B. 1–b; 2–c; 3–d; 4–a,错
5,正确描述毕业要求（用数字表示）和课程目标（用小写字母表示）之间的关系的是？,C. 1–c; 2–d; 3–a; 4–b,错
5,正确描述毕业要求（用数字表示）和课程目标（用小写字母表示）之间的关系的是？,D. 1–d; 2–a; 3–b; 4–c,错
6,"子函数leaf_example执行完了""jr $ra""，达到返回main函数的目的后，刚刚被写入到栈当中的0x2a这个特别的数值被清零。",A. 对,错
6,"子函数leaf_example执行完了""jr $ra""，达到返回main函数的目的后，刚刚被写入到栈当中的0x2a这个特别的数值被清零。",B. 错,对
7,我们的这门课程的全称是“计算机组成原理”。对于下列场景，你认为哪个或哪些场景使用到了“计算机”？,A. 玩3A大作“黑神话 悟空”,对
7,我们的这门课程的全称是“计算机组成原理”。对于下列场景，你认为哪个或哪些场景使用到了“计算机”？,B. 使用电话手表和朋友愉快地聊天,对
7,我们的这门课程的全称是“计算机组成原理”。对于下列场景，你认为哪个或哪些场景使用到了“计算机”？,C. 对着家里的语音电扇说“打开风扇”,对
7,我们的这门课程的全称是“计算机组成原理”。对于下列场景，你认为哪个或哪些场景使用到了“计算机”？,D. 使用AI助手根据提纲自动生成一个报告,对
8,在Logisim中打开源码“lec1-冯诺依曼模型与指令集.circ”，找到2×2矩阵乘法阵列子电路。设置矩阵元素，单步运行并观察计算结果。比较“采用阵列完成矩阵乘法”与“采用C语言编写程序完成矩阵乘法”，思考其异同点。下列描述中，错误的是？,A. 无论是使用C语言完成矩阵乘法，还是用矩阵乘法阵列完成矩阵乘法，都能够得到正确答案。,错
8,在Logisim中打开源码“lec1-冯诺依曼模型与指令集.circ”，找到2×2矩阵乘法阵列子电路。设置矩阵元素，单步运行并观察计算结果。比较“采用阵列完成矩阵乘法”与“采用C语言编写程序完成矩阵乘法”，思考其异同点。下列描述中，错误的是？,B. 采用C语言完成矩阵乘法，主要思考的对象是变量赋值、C程序语句的执行等。,错
8,在Logisim中打开源码“lec1-冯诺依曼模型与指令集.circ”，找到2×2矩阵乘法阵列子电路。设置矩阵元素，单步运行并观察计算结果。比较“采用阵列完成矩阵乘法”与“采用C语言编写程序完成矩阵乘法”，思考其异同点。下列描述中，错误的是？,C. 采用矩阵乘法阵列完成矩阵乘法，主要思考的对象是数据在数字电路组成的运算结构中完成相应的运算等。,错
8,在Logisim中打开源码“lec1-冯诺依曼模型与指令集.circ”，找到2×2矩阵乘法阵列子电路。设置矩阵元素，单步运行并观察计算结果。比较“采用阵列完成矩阵乘法”与“采用C语言编写程序完成矩阵乘法”，思考其异同点。下列描述中，错误的是？,D. 使用矩阵乘法阵列，不仅能够以更高的性能完成计算任务，还适用于其它计算任务（比如排序），展示出更好的通用性。,对
9,根据课堂实践内容，判断以下关于中断/异常机制的描述，错误的是？,A. 中断机制是一个软件与硬件协同配合工作的过程。其中软件完成那些比较灵活的工作，由硬件完成那些软件无法完成或者较为费力的工作，比如保存断点。,错
9,根据课堂实践内容，判断以下关于中断/异常机制的描述，错误的是？,B. 计算机系统中存在各种异常，计算机系统的异常机制的存在是为了系统运行更加安全、稳定。,错
9,根据课堂实践内容，判断以下关于中断/异常机制的描述，错误的是？,C. 在访问计算机系统的输入输出设备时，轮询机制通常比中断机制效率更高。,对
9,根据课堂实践内容，判断以下关于中断/异常机制的描述，错误的是？,D. 在多个程序的并发执行过程中，每个程序会得到一个“独占”系统的假象。,错
10,"在main函数完成子函数lead_example的调用之后（即子函数leaf_example执行完了""jr $ra""），$sp又恢复成初始值。",A. 对,对
10,"在main函数完成子函数lead_example的调用之后（即子函数leaf_example执行完了""jr $ra""），$sp又恢复成初始值。",B. 错,错
11,打开“基于中断的程序并发”下的“Mini-MIPS-Concurrent_Program.circ”的子电路2“MIPS_CPU_Concurrent_Program_2”。子电路2改用循环计数器自动地产生周期性中断请求。在启用仿真之前，将EPC1的值手动地改为0x10，使得第一次中断服务程序退出时可以切换到用户程序1。将时钟频率调整至最高，以下描述错误的是：,A. 现在中断信号是自动产生的，因此用户程序1和用户程序2也是自动切换的。,错
11,打开“基于中断的程序并发”下的“Mini-MIPS-Concurrent_Program.circ”的子电路2“MIPS_CPU_Concurrent_Program_2”。子电路2改用循环计数器自动地产生周期性中断请求。在启用仿真之前，将EPC1的值手动地改为0x10，使得第一次中断服务程序退出时可以切换到用户程序1。将时钟频率调整至最高，以下描述错误的是：,B. 用户程序1和用户程序2可以在同一个时钟周期内完成对两个内存地址的写入。,对
11,打开“基于中断的程序并发”下的“Mini-MIPS-Concurrent_Program.circ”的子电路2“MIPS_CPU_Concurrent_Program_2”。子电路2改用循环计数器自动地产生周期性中断请求。在启用仿真之前，将EPC1的值手动地改为0x10，使得第一次中断服务程序退出时可以切换到用户程序1。将时钟频率调整至最高，以下描述错误的是：,C. 当时钟频率变快时，观察者几乎感觉不到用户程序1和用户程序2之间的切换，仿佛他们是同时运行的（但实际上并不是）。,错
11,打开“基于中断的程序并发”下的“Mini-MIPS-Concurrent_Program.circ”的子电路2“MIPS_CPU_Concurrent_Program_2”。子电路2改用循环计数器自动地产生周期性中断请求。在启用仿真之前，将EPC1的值手动地改为0x10，使得第一次中断服务程序退出时可以切换到用户程序1。将时钟频率调整至最高，以下描述错误的是：,D. 在这个过程中，软件与硬件协同，实现了对用户程序运行的切换。,错
12,假设你有一个输入外设，但你不知道它的状态什么时候就绪。你决定采用轮询（polling）的方式去获取输入设备的状态信息。以下说法错误的是：,A. 在轮询机制下，主程序需要反复访问设备的状态。,错
12,假设你有一个输入外设，但你不知道它的状态什么时候就绪。你决定采用轮询（polling）的方式去获取输入设备的状态信息。以下说法错误的是：,B. 设备一般通过内存映射机制，将自己映射到某个内存地址当中。,错
12,假设你有一个输入外设，但你不知道它的状态什么时候就绪。你决定采用轮询（polling）的方式去获取输入设备的状态信息。以下说法错误的是：,C. 主程序通过访存指令可以访问设备寄存器。,错
12,假设你有一个输入外设，但你不知道它的状态什么时候就绪。你决定采用轮询（polling）的方式去获取输入设备的状态信息。以下说法错误的是：,D. 如果设备迟迟没有进入就绪状态（即主程序期待的结果），主程序可以去做其它的事情，并且等待设备的主动通知。,对
13,在Logisim中打开“Mini-MIPS-CPU设计-带延迟的存储器”选择“BaseSystem”版本，运行系统并确保你能够观察到访存效果 再选择“用按钮模拟存储器延迟”版本，用按按钮模拟存储器的延迟，并观察对于程序执行的影响 再选择“存储器带延迟”版本，观察存储器延迟对于程序执行的影响 。,A. 存储器延迟对于所有指令都有影响，每一条指令的执行都会因为存储器变慢而被拖延。,对
13,在Logisim中打开“Mini-MIPS-CPU设计-带延迟的存储器”选择“BaseSystem”版本，运行系统并确保你能够观察到访存效果 再选择“用按钮模拟存储器延迟”版本，用按按钮模拟存储器的延迟，并观察对于程序执行的影响 再选择“存储器带延迟”版本，观察存储器延迟对于程序执行的影响 。,B. 存储器延迟越小，程序执行速度越快。,错
13,在Logisim中打开“Mini-MIPS-CPU设计-带延迟的存储器”选择“BaseSystem”版本，运行系统并确保你能够观察到访存效果 再选择“用按钮模拟存储器延迟”版本，用按按钮模拟存储器的延迟，并观察对于程序执行的影响 再选择“存储器带延迟”版本，观察存储器延迟对于程序执行的影响 。,C. 假设一条访存指令正常执行需要一个周期能够完成，存储器内部的延迟是十个周期，那么这条访存指令的实际执行时间就应该把存储器内部的延迟算上。,错
14,在没有增加编译器选项–fopenmp之前，打印出来的数字是循环递增的（即有固定的顺序）。在编译选项当中增加 –fopenmp，打印出来的数字开始变得无序。,A. 对,对
14,在没有增加编译器选项–fopenmp之前，打印出来的数字是循环递增的（即有固定的顺序）。在编译选项当中增加 –fopenmp，打印出来的数字开始变得无序。,B. 错,错
15,在程序未执行之前，$sp指向的栈顶位置是0x7ffffffc。【提示：这个初始值可能根据不同的指令集体系结构或操作系统配置而变化，不必过分追究为什么是这个值。】,A. 对,对
15,在程序未执行之前，$sp指向的栈顶位置是0x7ffffffc。【提示：这个初始值可能根据不同的指令集体系结构或操作系统配置而变化，不必过分追究为什么是这个值。】,B. 错,错
16,假设虚拟地址为32位，页的大小为8KiB，物理地址为29位，试计页表需要多大容量？,A. 约为0.5MB,错
16,假设虚拟地址为32位，页的大小为8KiB，物理地址为29位，试计页表需要多大容量？,B. 约为1MB,对
16,假设虚拟地址为32位，页的大小为8KiB，物理地址为29位，试计页表需要多大容量？,C. 约为2MB,错
16,假设虚拟地址为32位，页的大小为8KiB，物理地址为29位，试计页表需要多大容量？,D. 约为4MB,错
17,"执行完第8行代码“sw $s0, 0($sp)”后，0x2a被写入存储器的0x7fffefc这个位置。0x2a这个特别的数值来自于主函数中的“addi $s0, $0, 42”的执行。【提示：十进制数42转换成16进制数后是0x2a】",A. 对,错
17,"执行完第8行代码“sw $s0, 0($sp)”后，0x2a被写入存储器的0x7fffefc这个位置。0x2a这个特别的数值来自于主函数中的“addi $s0, $0, 42”的执行。【提示：十进制数42转换成16进制数后是0x2a】",B. 错,对
18,关于MIPS指令集在设计的时候需要权衡的因素，以下说法错误的是：,A. MIPS指令集只提供32个寄存器给软件世界使用，这是受到寄存器文件的寄存器号端口大小限制的。,错
18,关于MIPS指令集在设计的时候需要权衡的因素，以下说法错误的是：,B. MIPS指令集的I型指令只能提供16比特空间存放立即数，这是因为操作码、源寄存器号已经占据了16比特空间，剩下的空间就这么大。,错
18,关于MIPS指令集在设计的时候需要权衡的因素，以下说法错误的是：,C. 可以只使用一条MIPS指令向某个寄存器写入立即数0x12345678。,对
18,关于MIPS指令集在设计的时候需要权衡的因素，以下说法错误的是：,D. 有条件跳转指令beq的跳转范围不如无条件跳转指令jump的跳转范围大。,错
19,假设指令Cache的缺失率为0，数据Cache的缺失率为10%，处理器的CPI（Cycle Per Instruction）为2，每次缺失的代价为100个时钟周期，load和store指令占总指令的25%，试计算理想CPU的性能是实际CPU性能的几倍？,A. 2.5/2=1.25倍,错
19,假设指令Cache的缺失率为0，数据Cache的缺失率为10%，处理器的CPI（Cycle Per Instruction）为2，每次缺失的代价为100个时钟周期，load和store指令占总指令的25%，试计算理想CPU的性能是实际CPU性能的几倍？,B. 2/2=1倍,错
19,假设指令Cache的缺失率为0，数据Cache的缺失率为10%，处理器的CPI（Cycle Per Instruction）为2，每次缺失的代价为100个时钟周期，load和store指令占总指令的25%，试计算理想CPU的性能是实际CPU性能的几倍？,C. (2+2.5)/2=2.25倍,对
19,假设指令Cache的缺失率为0，数据Cache的缺失率为10%，处理器的CPI（Cycle Per Instruction）为2，每次缺失的代价为100个时钟周期，load和store指令占总指令的25%，试计算理想CPU的性能是实际CPU性能的几倍？,D. 2/(2+2.5)=0.44倍,错
20,对于两种不同的存储器技术SRAM和磁盘，假设SRAM的访问时间是2纳秒，磁盘的访问时间是5000000纳秒。对于一个时钟频率为1GHz（周期为1纳秒）的处理器来说，分别需要多少个时钟周期才能完成一次对SRAM的访问和一次对磁盘的访问？,A. 2个；5000000个,对
20,对于两种不同的存储器技术SRAM和磁盘，假设SRAM的访问时间是2纳秒，磁盘的访问时间是5000000纳秒。对于一个时钟频率为1GHz（周期为1纳秒）的处理器来说，分别需要多少个时钟周期才能完成一次对SRAM的访问和一次对磁盘的访问？,B. 20个；500000个,错
20,对于两种不同的存储器技术SRAM和磁盘，假设SRAM的访问时间是2纳秒，磁盘的访问时间是5000000纳秒。对于一个时钟频率为1GHz（周期为1纳秒）的处理器来说，分别需要多少个时钟周期才能完成一次对SRAM的访问和一次对磁盘的访问？,C. 200个；50000个,错
20,对于两种不同的存储器技术SRAM和磁盘，假设SRAM的访问时间是2纳秒，磁盘的访问时间是5000000纳秒。对于一个时钟频率为1GHz（周期为1纳秒）的处理器来说，分别需要多少个时钟周期才能完成一次对SRAM的访问和一次对磁盘的访问？,D. 2000个；5000个,错
21,（承接上题）在MARS仿真器中运行这段程序，你无法直接观察到乘法器、除法器和加法器的运行过程，只能通过指令间接地控制它们的执行，并且通过寄存器间接地观察到运行结果。,A. 对,对
21,（承接上题）在MARS仿真器中运行这段程序，你无法直接观察到乘法器、除法器和加法器的运行过程，只能通过指令间接地控制它们的执行，并且通过寄存器间接地观察到运行结果。,B. 错,错
22,"工业界通常使用VHDL或Verilog描述底层数字电路设计（其中也包括处理器），因此具备基本的VHDL阅读能力是进行数字电路设计的最低要求。结合MIPS处理器的设计与实现，判断以下代码的目的。
temp_result <= std_logic_vector(unsigned(alu_src1) * unsigned(alu_src2));
alu_result <= temp_result(31 downto 0);
这段代码完成两个无符号数的加法，并且将计算结果的低32位送给ALU的输出端口。",A. 对,错
22,"工业界通常使用VHDL或Verilog描述底层数字电路设计（其中也包括处理器），因此具备基本的VHDL阅读能力是进行数字电路设计的最低要求。结合MIPS处理器的设计与实现，判断以下代码的目的。
temp_result <= std_logic_vector(unsigned(alu_src1) * unsigned(alu_src2));
alu_result <= temp_result(31 downto 0);
这段代码完成两个无符号数的加法，并且将计算结果的低32位送给ALU的输出端口。",B. 错,对
